slot,item_id,item_name,name_duplicate,duplicate_count,mount_type,item_exists,item_spell,spell_dbc_exists,spell_name,item_spell_matches_collection,collection_exists,creature_entry,creature_exists,display_id,creature_model_exists,model_path
1,970001,사나운 전투사자,False,1,날탈,True,960001,True,사나운 전투사자,True,True,910001,True,900001,True,Creature\AlliancePVPMount\AlliancePVPMount.M2
2,970002,스톰윈드 하늘추적선,False,1,날탈,True,960002,True,스톰윈드 하늘추적선,True,True,910003,True,900003,True,Creature\AllianceShipMount\allianceshipmount.m2
3,970003,천공의 운룡,False,1,날탈,True,960003,True,천공의 운룡,True,True,910004,True,900004,True,Creature\CelestialSerpent\CelestialSerpentMount.M2
4,970004,학 탈것,False,1,지상탈,True,960004,True,학 탈것,True,True,910005,True,900005,True,Creature\Crane\CraneMount.M2
5,970005,암흑 불사조,False,1,날탈,True,960005,True,암흑 불사조,True,True,910006,True,900006,True,Creature\DarkPhoenix\DarkPhoenixMount_Spectral.M2
6,970006,심연 바위 비룡,False,1,날탈,True,960006,True,심연 바위 비룡,True,True,910007,True,900007,True,Creature\dragondeepholm\dragondeepholmmount.m2
7,970007,용매,False,1,날탈,True,960007,True,용매,True,True,910008,True,900008,True,Creature\dragonhawk\dragonhawkmount.m2
8,970008,마력 깃든 요정용,False,1,날탈,True,960008,True,마력 깃든 요정용,True,True,910009,True,900009,True,Creature\faeriedragonmount\faeriedragonmount.m2
9,970009,일리다리 지옥추적자,False,1,날탈,True,960009,True,일리다리 지옥추적자,True,True,910010,True,900010,True,Creature\felhound3_fire_mount\felhound3_fire_mount.m2
10,970010,일리다리 공포추적자,False,1,날탈,True,960010,True,일리다리 공포추적자,True,True,910011,True,900011,True,Creature\felhound3_shadow_mount\felhound3_shadow_mount.m2
11,970011,지옥추적자,False,1,날탈,True,960011,True,지옥추적자,True,True,910012,True,900012,True,Creature\felstalkermount\felstalkermount.m2
12,970012,불꽃호랑이,False,1,날탈,True,960012,True,불꽃호랑이,True,True,910013,True,900013,True,Creature\FireCatMount\FireCatMount.m2
13,970013,여우 탈것,False,1,지상탈,True,960013,True,여우 탈것,True,True,910014,True,900014,True,Creature\FoxMount\FoxMount.m2
14,970014,사나운 전투여우,False,1,날탈,True,960014,True,사나운 전투여우,True,True,910015,True,900015,True,Creature\HordePVPMount\HordePVPMount.M2
15,970015,사나운 전투전갈,False,1,지상탈,True,960015,True,사나운 전투전갈,True,True,910016,True,900016,True,Creature\HordeScorpionMount\HordeScorpionMount.M2
16,970016,호드 비행선,False,1,날탈,True,960016,True,호드 비행선,True,True,910017,True,900017,True,Creature\hordezeppelinmount\hordezeppelinmount.m2
17,970017,대마법사의 비전 원반,False,1,날탈,True,960017,True,대마법사의 비전 원반,True,True,910018,True,900018,True,Creature\magemount_arcane\magemount_arcane.m2
18,970018,대마법사의 화염 원반,False,1,날탈,True,960018,True,대마법사의 화염 원반,True,True,910019,True,900019,True,Creature\magemount_fire\magemount_fire.m2
19,970019,대마법사의 냉기 원반,False,1,날탈,True,960019,True,대마법사의 냉기 원반,True,True,910020,True,900020,True,Creature\magemount_frost\magemount_frost.m2
20,970020,반루,False,1,지상탈,True,960020,True,반루,True,True,910021,True,900021,True,Creature\monkmount\monkmount.m2
21,970021,에체로의 영혼,False,1,지상탈,True,960021,True,에체로의 영혼,True,True,910022,True,900022,True,Creature\moosemount2nightmare\moosemount2nightmare.m2
22,970022,무산야수,False,1,지상탈,True,960022,True,무산야수,True,True,910023,True,900023,True,Creature\MushanBeast\MushanBeastMount.M2
23,970023,판다렌 불사조,False,1,날탈,True,960023,True,판다렌 불사조,True,True,910024,True,900024,True,Creature\PandarenPhoenixMount\PandarenPhoenixMount.M2
24,970024,운룡,False,1,날탈,True,960024,True,운룡,True,True,910025,True,900025,True,Creature\PandarenSerpent\PandarenSerpentMount.M2
25,970025,원시비룡,False,1,날탈,True,960025,True,원시비룡,True,True,910026,True,900026,True,Creature\protodragon\mdprotodrakemount.m2
