slot,source,item_id,spell_id,creature_entry,display_id,model_id,mount_type,name,model_path
1,patch-4,970001,960001,910001,900001,900002,날탈,사나운 전투사자,Creature\AlliancePVPMount\AlliancePVPMount.M2
2,patch-4,970002,960002,910003,900003,900003,날탈,스톰윈드 하늘추적선,Creature\AllianceShipMount\allianceshipmount.m2
3,patch-4,970003,960003,910004,900004,900004,날탈,천공의 운룡,Creature\CelestialSerpent\CelestialSerpentMount.M2
4,patch-4,970004,960004,910005,900005,900005,지상탈,학 탈것,Creature\Crane\CraneMount.M2
5,patch-4,970005,960005,910006,900006,900006,날탈,암흑 불사조,Creature\DarkPhoenix\DarkPhoenixMount_Spectral.M2
6,patch-4,970006,960006,910007,900007,900007,날탈,심연 바위 비룡,Creature\dragondeepholm\dragondeepholmmount.m2
7,patch-4,970007,960007,910008,900008,900008,날탈,용매,Creature\dragonhawk\dragonhawkmount.m2
8,patch-4,970008,960008,910009,900009,900009,날탈,마력 깃든 요정용,Creature\faeriedragonmount\faeriedragonmount.m2
9,patch-4,970009,960009,910010,900010,900010,날탈,일리다리 지옥추적자,Creature\felhound3_fire_mount\felhound3_fire_mount.m2
10,patch-4,970010,960010,910011,900011,900011,날탈,일리다리 공포추적자,Creature\felhound3_shadow_mount\felhound3_shadow_mount.m2
11,patch-4,970011,960011,910012,900012,900012,날탈,지옥추적자,Creature\felstalkermount\felstalkermount.m2
12,patch-4,970012,960012,910013,900013,900013,날탈,불꽃호랑이,Creature\FireCatMount\FireCatMount.m2
13,patch-4,970013,960013,910014,900014,900014,지상탈,여우 탈것,Creature\FoxMount\FoxMount.m2
14,patch-4,970014,960014,910015,900015,900015,날탈,사나운 전투여우,Creature\HordePVPMount\HordePVPMount.M2
15,patch-4,970015,960015,910016,900016,900016,지상탈,사나운 전투전갈,Creature\HordeScorpionMount\HordeScorpionMount.M2
16,patch-4,970016,960016,910017,900017,900017,날탈,호드 비행선,Creature\hordezeppelinmount\hordezeppelinmount.m2
17,patch-4,970017,960017,910018,900018,900018,날탈,대마법사의 비전 원반,Creature\magemount_arcane\magemount_arcane.m2
18,patch-4,970018,960018,910019,900019,900019,날탈,대마법사의 화염 원반,Creature\magemount_fire\magemount_fire.m2
19,patch-4,970019,960019,910020,900020,900020,날탈,대마법사의 냉기 원반,Creature\magemount_frost\magemount_frost.m2
20,patch-4,970020,960020,910021,900021,900021,지상탈,반루,Creature\monkmount\monkmount.m2
21,patch-4,970021,960021,910022,900022,900022,지상탈,에체로의 영혼,Creature\moosemount2nightmare\moosemount2nightmare.m2
