model_id,model_path,display_count,display_ids,reflected,status_detail,mount_type,reason
900003,Creature\AllianceShipMount\allianceshipmount.m2,2,"900003,900103",반영됨,910003:스톰윈드 스카이체이서; 930003:사나운 전투사자 (구리색),날탈,Skychaser/ship mount 계열
900004,Creature\CelestialSerpent\CelestialSerpentMount.M2,2,"900004,900104",반영됨,910004:천공의 운룡; 930004:사나운 전투사자 (붉은색),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900006,Creature\DarkPhoenix\DarkPhoenixMount_Spectral.M2,2,"900006,900106",반영됨,910006:암흙 불사조; 930006:스톰윈드 스카이체이서,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900046,Creature\dragonhawk\dragonhawkarmormountalliance.m2,2,"900060,900160",반영됨,910060:크림슨 드래곤호크 (얼라이언스 장갑형); 930060:붉은 비룡 (붉은색),날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900047,Creature\dragonhawk\dragonhawkarmormounthorde.m2,2,"900061,900161",반영됨,910061:크림슨 드래곤호크 (호드 장갑형); 930061:X-53 순회 로켓,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900008,Creature\dragonhawk\dragonhawkmount.m2,18,"900008,900052,900053,900054,900055,900056,900057,900058,900059,900108,900152,900153,900154,900155,900156,900157,900158,900159",반영됨,910008:크림슨 드래곤호크; 910052:크림슨 드래곤호크 (스킨01); 910053:크림슨 드래곤호크 (스킨02); 910054:크림슨 드래곤호크 (스킨03); 910055:크림슨 드래곤호크 (스킨04); 910056:크림슨 드래곤호크 (스킨05) ...,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900009,Creature\faeriedragonmount\faeriedragonmount.m2,6,"900009,900062,900063,900109,900162,900163",반영됨,910009:마력 깃든 요정용; 910062:마력 깃든 요정용 (색상 02); 910063:마력 깃든 요정용 (색상 03); 930009:암흑 불사조; 930062:X-53 순회 로켓; 930063:호랑이탈것,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900017,Creature\hordezeppelinmount\hordezeppelinmount.m2,2,"900017,900117",반영됨,910017:사나운; 930017:크림슨 드래곤호크 (색상 3),날탈,Zeppelin mount 계열
900018,Creature\magemount_arcane\magemount_arcane.m2,2,"900018,900118",반영됨,910018:대마법사의 무지개원반; 930018:크림슨 드래곤호크 (색상 4),날탈,Mage disc mount 계열
900019,Creature\magemount_fire\magemount_fire.m2,2,"900019,900119",반영됨,910019:대마법사의 무지개원반; 930019:크림슨 드래곤호크 (색상 5),날탈,Mage disc mount 계열
900020,Creature\magemount_frost\magemount_frost.m2,2,"900020,900120",반영됨,910020:대마법사의 무지개원반; 930020:크림슨 드래곤호크 (색상 6),날탈,Mage disc mount 계열
900024,Creature\PandarenPhoenixMount\PandarenPhoenixMount.M2,8,"900024,900067,900068,900069,900124,900167,900168,900169",반영됨,910024:판다렌 불사조; 910067:잿가죽 무산야수; 910068:판다렌 불사조 (보라색); 910069:판다렌 불사조 (붉은색); 930024:크림슨 드래곤호크 (호드 장갑형); 930067:공허 수정 표범 (보라색) ...,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
900025,Creature\PandarenSerpent\PandarenSerpentMount.M2,10,"900025,900070,900071,900072,900073,900125,900170,900171,900172,900173",반영됨,910025:운룡; 910070:운룡 (파란색); 910071:운룡; 910072:운룡 (붉은색); 910073:운룡; 930025:마력 깃든 요정용 (기본) ...,날탈,Wowhead WotLK 분류 및 비행 모델 계열명 기준
