지역ID,맵,상위지역,지역명,기준,기준지역ID,몬스터1,원본좌표1,Y+10 좌표1,Y-10 좌표1,몬스터2,원본좌표2,Y+10 좌표2,Y-10 좌표2,몬스터3,원본좌표3,Y+10 좌표3,Y-10 좌표3
1,동부 왕국,,던 모로,지역 경계 직접,1,덩치 큰 멧돼지 (1127),"-5660.910, -922.077, 412.427","-5660.910, -912.077, 412.427","-5660.910, -932.077, 412.427",멧돼지 (1125),"-5534.430, -632.649, 407.758","-5534.430, -622.649, 407.758","-5534.430, -642.649, 407.758",눈표범 (1201),"-5733.190, -576.408, 399.414","-5733.190, -566.408, 399.414","-5733.190, -586.408, 399.414"
2,동부 왕국,서부 몰락지대,기나긴 해안,상위지역 경계 대체,40,병든 늑대 (525),"-9707.640, 782.041, 31.745","-9707.640, 792.041, 31.745","-9707.640, 772.041, 31.745",뿔엄니멧돼지 (157),"-10627.600, 1326.260, 38.080","-10627.600, 1336.260, 38.080","-10627.600, 1316.260, 38.080",돌엄니멧돼지 (113),"-9929.220, 443.641, 34.594","-9929.220, 453.641, 34.594","-9929.220, 433.641, 34.594"
3,동부 왕국,,황야의 땅,지역 경계 직접,3,덩치 큰 바위산코요테 (2729),"-6847.490, -3008.190, 242.100","-6847.490, -2998.190, 242.100","-6847.490, -3018.190, 242.100",덩치 큰 바위산표범 (2732),"-6760.770, -3279.660, 242.453","-6760.770, -3269.660, 242.453","-6760.770, -3289.660, 242.453",흉포한 바위산코요테 (2728),"-6750.660, -3407.980, 241.792","-6750.660, -3397.980, 241.792","-6750.660, -3417.980, 241.792"
4,동부 왕국,,저주받은 땅,지역 경계 직접,4,네더가드 광부 (5996),"-10863.900, -3047.230, 48.497","-10863.900, -3037.230, 48.497","-10863.900, -3057.230, 48.497",네더가드 병사 (5999),"-11064.600, -3264.580, 54.306","-11064.600, -3254.580, 54.306","-11064.600, -3274.580, 54.306",정예 지옥군단병 (8717),"-11884.700, -2719.640, 3.814","-11884.700, -2709.640, 3.814","-11884.700, -2729.640, 3.814"
7,동부 왕국,가시덤불 골짜기,검은바다 만,상위지역 경계 대체,33,술취한 투사 (15724),"-14258.600, 327.030, 26.364","-14258.600, 337.030, 26.364","-14258.600, 317.030, 26.364",무법항 투사 (4624),"-14258.600, 327.030, 26.427","-14258.600, 337.030, 26.427","-14258.600, 317.030, 26.427",가시덤불 암호랑이 (772),"-12907.700, -407.618, 12.128","-12907.700, -397.618, 12.128","-12907.700, -417.618, 12.128"
8,동부 왕국,,슬픔의 늪,지역 경계 직접,8,네더가드 광부 (5996),"-10499.000, -3328.550, -4.555","-10499.000, -3318.550, -4.555","-10499.000, -3338.550, -4.555",네더가드 병사 (5999),"-10874.300, -3284.880, 88.425","-10874.300, -3274.880, 88.425","-10874.300, -3294.880, 88.425",늪지멀록 먹물쟁이 (750),"-10865.800, -3642.490, 13.737","-10865.800, -3632.490, 13.737","-10865.800, -3652.490, 13.737"
9,동부 왕국,엘윈 숲,노스샤이어 계곡,상위지역 경계 대체,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
10,동부 왕국,,그늘숲,지역 경계 직접,10,돌가죽멧돼지 (524),"-9926.910, -371.035, 27.431","-9926.910, -361.035, 27.431","-9926.910, -381.035, 27.431",파멸의어둠일족 암흑길잡이 (205),"-10530.900, -786.683, 57.438","-10530.900, -776.683, 57.438","-10530.900, -796.683, 57.438",새끼 검은과부거미 (930),"-10751.200, -172.226, 40.478","-10751.200, -162.226, 40.478","-10751.200, -182.226, 40.478"
11,동부 왕국,,저습지,지역 경계 직접,11,새끼 습지악어 (1417),"-3406.250, -2668.750, 6.533","-3406.250, -2658.750, 6.533","-3406.250, -2678.750, 6.533",용아귀부족 약탈자 (1034),"-3482.190, -2451.440, 46.543","-3482.190, -2441.440, 46.543","-3482.190, -2461.440, 46.543",습지악어 (1400),"-3162.970, -2301.090, 7.082","-3162.970, -2291.090, 7.082","-3162.970, -2311.090, 7.082"
12,동부 왕국,,엘윈 숲,지역 경계 직접,12,병든 늑대 (525),"-9222.780, -53.985, 73.610","-9222.780, -43.985, 73.610","-9222.780, -63.985, 73.610",돌가죽멧돼지 (524),"-9652.080, -306.250, 58.709","-9652.080, -296.250, 58.709","-9652.080, -316.250, 58.709",굶주린 늑대 (118),"-8941.040, -734.319, 70.435","-8941.040, -724.319, 70.435","-8941.040, -744.319, 70.435"
