지역ID,맵ID,맵,상위지역ID,상위지역,지역명,매칭상태,좌표기준지역ID,대상구분,GUID,Entry,대상이름,X,Y,Z
1,0,동부 왕국,0,,던 모로,상위지역 좌표경계 대체,1,몬스터,4094,1125,멧돼지,-5534.43,-632.649,407.758
2,0,동부 왕국,40,서부 몰락지대,기나긴 해안,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
3,0,동부 왕국,0,,황야의 땅,상위지역 좌표경계 대체,3,몬스터,7002,2727,바위산코요테,-6733.6,-3353.22,241.758
4,0,동부 왕국,0,,저주받은 땅,상위지역 좌표경계 대체,4,몬스터,134380,7846,파멸의 테레무스,-11685.9,-2955.42,7.736
7,0,동부 왕국,33,가시덤불 골짜기,검은바다 만,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
8,0,동부 왕국,0,,슬픔의 늪,상위지역 좌표경계 대체,8,몬스터,34153,865,스토나드 길잡이,-10383.4,-3373.6,22.8654
9,0,동부 왕국,12,엘윈 숲,노스샤이어 계곡,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
10,0,동부 왕국,0,,그늘숲,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
11,0,동부 왕국,0,,저습지,상위지역 좌표경계 대체,11,몬스터,10768,1057,용아귀부족 해골감시자,-3553.23,-2448.85,51.7919
12,0,동부 왕국,0,,엘윈 숲,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
13,0,동부 왕국,10,그늘숲,세계수,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
14,1,칼림도어,0,,듀로타,상위지역 좌표경계 대체,14,몬스터,12320,3112,서슬갈기일족 정찰병,52.693,-4613.99,46.8383
15,1,칼림도어,0,,먼지진흙 습지대,상위지역 좌표경계 대체,15,몬스터,18634,4393,산성 늪수액괴물,-3786.16,-3606.66,37.4825
16,1,칼림도어,0,,아즈샤라,상위지역 좌표경계 대체,16,몬스터,35540,6196,원한의꼬리일족 미르미돈,3585.72,-5791.59,-2.95189
17,1,칼림도어,0,,불모의 땅,상위지역 좌표경계 대체,17,몬스터,20887,3300,살모사,-1774.17,-2445.57,94.0997
18,0,동부 왕국,12,엘윈 숲,수정 호수,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
19,0,동부 왕국,33,가시덤불 골짜기,줄구룹,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
20,0,동부 왕국,40,서부 몰락지대,문브룩,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
21,0,동부 왕국,0,,쿨 티라스,좌표 없음,,,,,,,,
23,0,동부 왕국,12,엘윈 숲,노스샤이어 강,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
24,0,동부 왕국,12,엘윈 숲,노스샤이어 수도원,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
25,0,동부 왕국,0,,검은바위 산,좌표 없음,,,,,,,,
26,0,동부 왕국,40,서부 몰락지대,등대,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
28,0,동부 왕국,0,,서부 역병지대,상위지역 좌표경계 대체,28,몬스터,48260,4076,바퀴벌레,1930.58,-1714.77,61.6941
30,0,동부 왕국,0,,나인,좌표 없음,,,,,,,,
32,0,동부 왕국,10,그늘숲,묘지,상위지역 좌표경계 대체,10,몬스터,6045,1258,우두머리 검은약탈자늑대,-10806.4,-538.414,38.4045
33,0,동부 왕국,0,,가시덤불 골짜기,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
34,0,동부 왕국,12,엘윈 숲,메아리 광산,상위지역 좌표경계 대체,12,몬스터,80172,721,토끼,-9104.76,-222.075,74.0504
35,0,동부 왕국,33,가시덤불 골짜기,무법항,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
36,0,동부 왕국,0,,알터랙 산맥,상위지역 좌표경계 대체,36,몬스터,16994,2252,산사태 오우거,515.574,-620.737,170.678
37,0,동부 왕국,33,가시덤불 골짜기,나즈페리티 호수,상위지역 좌표경계 대체,33,몬스터,833,783,백골가루부족 광전사,-13054.5,-843.752,71.3439
38,0,동부 왕국,0,,모단 호수,상위지역 좌표경계 대체,38,몬스터,8332,1224,새끼 트레샤돈,-5415.41,-3391.13,262.328
40,0,동부 왕국,0,,서부 몰락지대,상위지역 좌표경계 대체,40,몬스터,89789,1109,식인독수리,-10585.1,1310.83,39.6822
