long,long,long,long,flags,long,long,long,long,long,long,long,long,long,None,str,None,None,None,None,None,None,None,None,None,None,None,None,None,None,flags,long,long,long,long,long,long,long,
1,0,6,0,0x0,6,0,0,6,0,0,0,0,0,,"대지의 무기 3",,,,,,,,,,,,,,,0xFF01FE,61,9,0,0,0,0,0,
2,0,1,0,0x0,0,0,0,0,0,0,8034,0,0,,"냉기의 무기 1",,,,,,,,,,,,,,,0xFF01FE,33,9,0,0,0,0,0,
3,0,3,0,0x0,100,0,0,100,0,0,15568,0,0,,"불꽃의 무기 3",,,,,,,,,,,,,,,0xFF01FE,32,9,0,0,0,0,0,
4,0,3,0,0x0,100,0,0,100,0,0,15567,0,0,,"불꽃의 무기 2",,,,,,,,,,,,,,,0xFF01FE,32,9,0,0,0,0,0,
5,0,3,0,0x0,100,0,0,100,0,0,10400,0,0,,"불꽃의 무기 1",,,,,,,,,,,,,,,0xFF01FE,32,9,0,0,0,0,0,
6,0,6,0,0x0,4,0,0,4,0,0,0,0,0,,"대지의 무기 2",,,,,,,,,,,,,,,0xFF01FE,61,9,0,0,0,0,0,
7,0,1,0,0x0,30,0,0,30,0,0,2818,0,0,,"맹독",,,,,,,,,,,,,,,0xFF01FE,26,9,0,0,0,0,0,
8,0,1,0,0x0,30,0,0,30,0,0,2819,0,0,,"맹독 II",,,,,,,,,,,,,,,0xFF01FE,26,9,0,0,0,0,0,
9,0,1,0,0x0,30,0,0,30,0,0,2820,0,0,,"독 (피해 15)",,,,,,,,,,,,,,,0xFF01FE,26,9,0,0,0,0,0,
10,0,1,0,0x0,30,0,0,30,0,0,2821,0,0,,"독 (피해 20)",,,,,,,,,,,,,,,0xFF01FE,26,9,0,0,0,0,0,
11,0,1,0,0x0,30,0,0,30,0,0,2822,0,0,,"독 (피해 25)",,,,,,,,,,,,,,,0xFF01FE,26,9,0,0,0,0,0,
12,0,1,0,0x0,0,0,0,0,0,0,8037,0,0,,"냉기의 무기 2",,,,,,,,,,,,,,,0xFF01FE,33,9,0,0,0,0,0,
13,0,2,0,0x0,3,0,0,3,0,0,0,0,0,,"무기 연마 (공격력 +3)",,,,,,,,,,,,,,,0xFF01FE,28,0,0,0,0,0,0,
14,0,2,0,0x0,4,0,0,4,0,0,0,0,0,,"무기 연마 (공격력 +4)",,,,,,,,,,,,,,,0xFF01FE,28,0,0,0,0,0,0,
